=== RESULTADO DEL ANALISIS LEXICO ===

TOKENS RECONOCIDOS:
Linea 1: APERTURA_PHP -> '<?php'
Linea 4: VARIABLE -> '$frutas'
Linea 4: ASIGNACION -> '='
Linea 4: COR_IZQ -> '['
Linea 4: CADENA -> '"manzana"'
Linea 4: COMA -> ','
Linea 4: CADENA -> '"pera"'
Linea 4: COMA -> ','
Linea 4: CADENA -> '"uva"'
Linea 4: COMA -> ','
Linea 4: CADENA -> '"sandia"'
Linea 4: COR_DER -> ']'
Linea 4: PUNTO_COMA -> ';'
Linea 5: VARIABLE -> '$precios'
Linea 5: ASIGNACION -> '='
Linea 5: COR_IZQ -> '['
Linea 5: CADENA -> '"manzana"'
Linea 5: FLECHA -> '=>'
Linea 5: FLOTANTE -> '1.5'
Linea 5: COMA -> ','
Linea 5: CADENA -> '"pera"'
Linea 5: FLECHA -> '=>'
Linea 5: FLOTANTE -> '0.75'
Linea 5: COMA -> ','
Linea 5: CADENA -> '"uva"'
Linea 5: FLECHA -> '=>'
Linea 5: FLOTANTE -> '2.0'
Linea 5: COR_DER -> ']'
Linea 5: PUNTO_COMA -> ';'
Linea 7: FOREACH -> 'foreach'
Linea 7: PAR_IZQ -> '('
Linea 7: VARIABLE -> '$frutas'
Linea 7: AS -> 'as'
Linea 7: VARIABLE -> '$fruta'
Linea 7: PAR_DER -> ')'
Linea 7: LLAVE_IZQ -> '{'
Linea 8: ECHO -> 'echo'
Linea 8: VARIABLE -> '$fruta'
Linea 8: PUNTO_COMA -> ';'
Linea 9: LLAVE_DER -> '}'
Linea 11: FOREACH -> 'foreach'
Linea 11: PAR_IZQ -> '('
Linea 11: VARIABLE -> '$precios'
Linea 11: AS -> 'as'
Linea 11: VARIABLE -> '$nombre'
Linea 11: FLECHA -> '=>'
Linea 11: VARIABLE -> '$precio'
Linea 11: PAR_DER -> ')'
Linea 11: LLAVE_IZQ -> '{'
Linea 12: ECHO -> 'echo'
Linea 12: VARIABLE -> '$nombre'
Linea 12: PUNTO_COMA -> ';'
Linea 13: ECHO -> 'echo'
Linea 13: VARIABLE -> '$precio'
Linea 13: PUNTO_COMA -> ';'
Linea 14: LLAVE_DER -> '}'
Linea 18: CLASS -> 'class'
Linea 18: ID -> 'Persona'
Linea 18: LLAVE_IZQ -> '{'
Linea 19: PUBLIC -> 'public'
Linea 19: VARIABLE -> '$nombre'
Linea 19: PUNTO_COMA -> ';'
Linea 22: PUBLIC -> 'public'
Linea 22: FUNCTION -> 'function'
Linea 22: ID -> '__construct'
Linea 22: PAR_IZQ -> '('
Linea 22: VARIABLE -> '$nombre'
Linea 22: PAR_DER -> ')'
Linea 22: LLAVE_IZQ -> '{'
Linea 23: VARIABLE -> '$this'
Linea 23: OBJETO_OP -> '->'
Linea 23: ID -> 'nombre'
Linea 23: ASIGNACION -> '='
Linea 23: VARIABLE -> '$nombre'
Linea 23: PUNTO_COMA -> ';'
Linea 24: LLAVE_DER -> '}'
Linea 27: PUBLIC -> 'public'
Linea 27: FUNCTION -> 'function'
Linea 27: ID -> 'saludar'
Linea 27: PAR_IZQ -> '('
Linea 27: PAR_DER -> ')'
Linea 27: LLAVE_IZQ -> '{'
Linea 28: RETURN -> 'return'
Linea 28: CADENA -> '"Hola, mi nombre es "'
Linea 28: CONCATENACION -> '.'
Linea 28: VARIABLE -> '$this'
Linea 28: OBJETO_OP -> '->'
Linea 28: ID -> 'nombre'
Linea 28: PUNTO_COMA -> ';'
Linea 29: LLAVE_DER -> '}'
Linea 30: LLAVE_DER -> '}'
Linea 33: VARIABLE -> '$persona'
Linea 33: ASIGNACION -> '='
Linea 33: NEW -> 'new'
Linea 33: ID -> 'Persona'
Linea 33: PAR_IZQ -> '('
Linea 33: CADENA -> '"Juliana"'
Linea 33: PAR_DER -> ')'
Linea 33: PUNTO_COMA -> ';'
Linea 35: ECHO -> 'echo'
Linea 35: VARIABLE -> '$persona'
Linea 35: OBJETO_OP -> '->'
Linea 35: ID -> 'saludar'
Linea 35: PAR_IZQ -> '('
Linea 35: PAR_DER -> ')'
Linea 35: PUNTO_COMA -> ';'
Linea 39: VARIABLE -> '$multiplicar'
Linea 39: ASIGNACION -> '='
Linea 39: FUNCTION -> 'function'
Linea 39: PAR_IZQ -> '('
Linea 39: VARIABLE -> '$x'
Linea 39: COMA -> ','
Linea 39: VARIABLE -> '$y'
Linea 39: PAR_DER -> ')'
Linea 39: LLAVE_IZQ -> '{'
Linea 40: RETURN -> 'return'
Linea 40: VARIABLE -> '$x'
Linea 40: MULTIPLICACION -> '*'
Linea 40: VARIABLE -> '$y'
Linea 40: PUNTO_COMA -> ';'
Linea 41: LLAVE_DER -> '}'
Linea 41: PUNTO_COMA -> ';'
Linea 43: STATIC -> 'static'
Linea 43: VARIABLE -> '$contador'
Linea 43: ASIGNACION -> '='
Linea 43: ENTERO -> '0'
Linea 43: PUNTO_COMA -> ';'
Linea 44: VARIABLE -> '$contador'
Linea 44: ASIGNACION -> '='
Linea 44: VARIABLE -> '$contador'
Linea 44: SUMA -> '+'
Linea 44: ENTERO -> '1'
Linea 44: PUNTO_COMA -> ';'
Linea 46: ECHO -> 'echo'
Linea 46: VARIABLE -> '$multiplicar'
Linea 46: PAR_IZQ -> '('
Linea 46: ENTERO -> '3'
Linea 46: COMA -> ','
Linea 46: ENTERO -> '4'
Linea 46: PAR_DER -> ')'
Linea 46: PUNTO_COMA -> ';'
Linea 47: ECHO -> 'echo'
Linea 47: VARIABLE -> '$contador'
Linea 47: PUNTO_COMA -> ';'
Linea 49: CIERRE_PHP -> '?>'
